day_of_year,tmax,tmin,rainfall,humidity,radiation
1,27.8,5.0,1.38,46.5,14.33
2,27.3,5.0,0.0,53.9,13.21
3,27.9,6.2,2.72,59.3,14.0
4,26.5,3.2,0.0,52.1,8.76
5,25.2,6.5,0.0,64.6,17.13
6,27.7,6.8,1.75,49.9,14.7
7,26.2,6.5,0.0,59.6,13.61
8,23.6,5.3,0.0,41.4,14.71
9,27.4,5.9,0.0,52.4,13.66
10,25.7,8.1,0.0,52.0,16.47
11,28.4,5.8,1.47,53.2,13.52
12,24.9,6.2,2.15,46.1,11.64
13,27.7,5.3,0.0,43.6,12.99
14,26.3,8.9,0.0,53.9,16.66
15,27.7,10.3,1.04,63.8,13.39
16,24.6,3.3,1.9,46.8,13.71
17,24.0,11.7,0.0,63.0,11.99
18,29.4,4.9,0.0,39.3,13.19
19,29.0,10.6,0.0,51.2,13.31
20,28.5,7.6,0.0,28.5,16.81
21,26.0,11.0,0.0,39.1,16.63
22,28.1,5.1,0.0,61.8,15.95
23,28.2,5.1,0.0,58.8,16.91
24,32.8,10.3,0.0,61.6,12.86
25,30.5,9.3,1.27,43.3,14.52
26,27.8,11.7,0.01,73.1,14.85
27,29.2,8.4,2.69,57.9,13.05
28,29.5,8.9,0.36,37.3,14.98
29,27.4,10.6,0.0,58.2,15.76
30,27.4,10.5,0.0,37.8,16.46
31,32.6,8.1,3.56,58.3,14.94
32,32.7,10.2,2.13,54.0,20.27
33,31.9,6.2,2.38,49.7,12.69
34,29.3,12.2,0.0,51.2,12.78
35,32.0,11.8,0.0,57.8,12.6
36,32.2,10.3,1.67,64.7,12.95
37,35.1,10.7,0.0,53.7,15.58
38,31.7,7.2,0.0,60.8,16.63
39,31.6,12.7,0.0,44.1,13.57
40,34.3,11.9,0.0,43.9,10.51
41,31.9,8.7,0.0,33.2,18.38
42,27.1,10.6,3.06,56.1,17.78
43,33.7,12.5,0.0,47.2,21.56
44,30.3,12.9,1.82,72.5,14.1
45,34.0,8.4,2.0,44.5,15.22
46,35.5,10.1,0.0,58.1,15.12
47,33.9,15.1,0.0,51.1,15.04
48,36.5,15.8,0.0,69.0,12.16
49,33.1,11.5,0.0,44.5,17.02
50,31.9,14.2,0.0,66.1,20.41
51,32.9,14.5,0.0,65.6,16.12
52,33.6,11.4,0.0,53.4,12.86
53,34.1,17.7,0.0,38.7,16.62
54,33.1,9.2,0.0,45.2,14.55
55,34.5,15.5,2.05,48.4,16.67
56,35.8,13.8,0.0,68.7,17.57
57,31.5,12.4,4.15,49.8,13.79
58,33.5,14.2,0.0,67.8,11.84
59,36.8,13.5,0.0,53.8,13.72
60,32.3,13.2,0.0,48.2,13.1
61,35.7,14.2,0.0,59.1,19.41
62,34.3,15.5,0.0,61.9,16.93
63,33.6,16.6,0.0,46.6,13.67
64,35.7,10.5,0.0,48.7,15.38
65,33.1,18.3,0.0,63.3,18.54
66,31.5,14.3,0.0,55.6,15.68
67,37.1,12.5,0.0,61.0,16.06
68,34.3,19.1,0.0,46.9,17.19
69,31.8,15.0,0.0,46.7,15.71
70,31.5,16.7,0.0,53.0,14.66
71,32.7,12.8,0.0,54.8,13.78
72,34.0,12.8,0.0,45.9,17.02
73,31.3,15.0,0.0,48.1,18.88
74,34.1,15.5,0.0,46.1,20.25
75,38.5,14.8,0.36,56.3,17.78
76,32.4,17.8,2.06,52.2,17.02
77,32.9,15.0,2.12,53.6,19.06
78,31.1,18.9,0.0,71.3,19.84
79,36.8,14.6,1.84,67.8,18.84
80,33.9,18.6,0.76,63.7,17.25
81,35.9,15.9,0.0,44.8,13.9
82,34.8,18.4,0.0,64.5,20.17
83,32.6,21.3,0.0,52.5,16.86
84,34.4,14.6,2.28,57.9,17.2
85,38.5,16.3,0.0,64.0,15.55
86,37.4,13.6,2.58,56.7,13.38
87,35.8,15.7,3.8,67.7,20.27
88,38.4,17.0,1.41,49.1,13.03
89,32.7,15.6,2.7,37.5,16.11
90,36.2,16.1,0.0,58.7,17.19
91,32.9,19.5,0.0,68.6,19.49
92,32.7,13.1,0.0,46.9,19.56
93,35.4,17.5,2.15,60.2,18.17
94,35.1,17.0,0.0,51.3,15.2
95,36.0,16.8,0.26,71.1,19.48
96,35.0,17.8,0.0,62.6,16.57
97,32.8,16.0,0.0,67.1,20.27
98,34.2,18.3,0.0,39.3,19.53
99,39.3,20.8,0.0,75.2,23.85
100,34.9,15.8,0.0,51.0,17.74
101,34.0,18.4,0.0,59.0,20.61
102,35.6,19.9,0.0,55.3,17.82
103,35.2,15.2,0.0,53.3,20.4
104,35.9,16.3,0.0,55.4,16.43
105,37.8,16.5,0.8,76.7,18.34
106,32.7,15.3,0.0,75.6,16.55
107,36.7,20.6,0.0,32.2,16.98
108,33.7,20.5,0.0,43.0,19.17
109,35.7,14.1,0.0,60.3,17.12
110,33.3,19.4,0.0,63.8,15.15
111,34.8,15.0,0.73,53.2,17.78
112,34.5,18.5,2.07,46.5,18.92
113,33.0,19.6,0.0,55.3,17.68
114,35.7,19.8,0.0,56.3,19.51
115,34.2,16.1,0.72,65.8,16.97
116,33.6,15.6,0.0,65.5,17.74
117,35.2,21.0,0.0,43.0,21.61
118,35.9,18.4,0.0,54.0,17.89
119,31.7,15.6,0.0,47.7,16.39
120,36.2,18.6,0.0,31.1,20.21
121,31.1,17.1,0.98,45.1,14.72
122,32.9,18.1,0.0,55.4,20.43
123,33.4,18.6,0.0,65.5,19.4
124,33.5,18.0,0.0,36.6,21.78
125,33.6,14.8,3.53,39.4,22.51
126,31.0,16.2,0.0,42.6,21.57
127,32.1,16.9,2.57,69.7,19.37
128,33.1,21.0,0.0,56.0,22.41
129,29.3,17.0,0.0,64.3,20.43
130,34.0,20.6,1.34,81.2,18.55
131,32.8,18.7,0.0,52.2,21.76
132,34.4,21.8,0.0,57.0,21.63
133,29.7,16.5,0.0,38.2,19.34
134,30.3,19.7,0.0,40.7,17.82
135,30.3,15.0,0.0,67.3,20.41
136,34.3,13.5,0.0,52.6,21.57
137,29.1,19.6,0.0,58.4,19.37
138,31.7,15.7,0.15,53.8,24.81
139,31.1,15.2,0.0,48.1,21.76
140,30.8,17.1,0.0,46.8,22.72
141,33.4,17.5,0.0,39.2,20.3
142,30.1,18.1,1.58,53.3,25.0
143,32.7,16.8,1.4,68.5,22.82
144,32.0,21.5,0.99,77.1,21.89
145,28.8,18.8,1.47,46.2,19.26
146,30.8,17.6,0.0,69.5,22.19
147,30.6,17.4,2.73,48.4,21.86
148,30.6,17.5,0.0,64.9,18.95
149,30.6,12.0,0.0,47.5,22.13
150,30.7,16.9,0.0,62.3,19.02
151,28.2,17.4,0.0,35.1,21.41
152,31.5,18.3,0.0,68.8,21.84
153,26.3,22.2,0.0,49.7,22.23
154,31.4,15.2,0.0,35.7,23.27
