day_of_year,tmax,tmin,rainfall,humidity,radiation
1,29.5,5.8,0.0,54.2,18.64
2,27.8,11.3,0.0,67.5,16.55
3,25.7,10.4,0.0,52.6,18.54
4,31.0,6.7,0.74,58.8,16.13
5,32.5,5.9,0.0,53.5,17.53
6,31.4,8.5,0.0,42.7,12.11
7,32.2,9.7,0.0,61.6,16.46
8,28.3,10.8,0.0,57.5,19.31
9,26.6,6.9,0.0,58.8,15.87
10,29.8,13.8,1.54,67.3,18.34
11,29.8,9.7,0.0,48.0,16.69
12,29.8,8.7,0.0,46.8,16.58
13,35.4,13.9,2.14,58.6,16.22
14,29.4,10.1,1.71,50.2,15.36
15,30.3,9.1,2.5,61.8,18.49
16,30.5,12.4,0.0,40.9,16.56
17,29.6,7.8,0.0,60.6,15.15
18,31.1,8.5,1.63,41.5,16.17
19,28.7,12.0,1.5,44.1,19.17
20,32.3,8.2,0.0,38.1,13.62
21,34.7,10.6,0.0,61.4,16.13
22,31.4,12.8,2.61,40.2,15.16
23,32.5,12.4,0.0,31.8,17.87
24,31.8,12.5,3.41,45.9,16.15
25,33.0,8.3,0.0,63.3,17.69
26,30.9,10.7,2.5,65.4,15.67
27,30.9,7.5,0.0,40.2,20.39
28,29.9,15.1,0.0,40.1,14.92
29,30.8,11.3,0.0,51.7,16.14
30,34.1,11.2,0.0,44.4,17.98
31,31.8,15.4,0.0,49.6,17.28
32,33.3,9.6,0.0,40.4,16.83
33,36.5,12.2,0.0,35.9,15.02
34,33.2,15.3,0.0,40.5,18.73
35,34.5,12.1,1.23,31.3,13.89
36,33.2,12.3,0.0,62.2,12.24
37,34.2,14.2,0.0,64.1,13.16
38,35.6,13.8,0.0,49.1,18.17
39,33.9,13.0,0.0,53.3,13.93
40,33.0,19.0,0.0,62.5,18.36
41,37.8,13.6,2.11,66.0,17.42
42,34.3,12.8,0.0,42.9,14.92
43,31.7,14.8,0.0,54.5,16.93
44,36.6,12.9,0.0,49.8,18.56
45,38.2,15.0,0.0,61.8,16.5
46,35.8,17.5,0.32,45.9,17.41
47,37.9,13.0,0.0,37.7,13.7
48,35.5,17.3,0.0,49.4,12.29
49,38.3,17.7,0.0,52.4,20.23
50,31.7,15.0,0.0,53.8,18.92
51,39.1,12.8,2.12,56.6,13.93
52,36.0,15.5,0.0,52.2,16.43
53,38.0,15.8,0.64,49.5,17.3
54,34.0,17.2,0.0,49.3,17.27
55,37.3,15.5,0.0,66.9,22.27
56,38.7,12.8,2.28,47.1,17.99
57,34.8,12.9,0.0,39.0,14.71
58,34.5,18.9,0.23,39.5,20.23
59,37.4,15.8,0.0,50.7,20.93
60,32.8,17.1,0.0,45.3,18.12
61,37.7,13.8,0.0,54.5,20.52
62,37.9,16.4,0.0,36.2,19.68
63,37.6,15.3,0.43,47.0,20.56
64,35.3,17.2,0.0,40.5,21.53
65,34.5,16.4,0.0,51.8,16.43
66,37.2,16.0,0.0,63.1,18.86
67,42.8,16.8,0.0,54.8,15.57
68,37.6,15.9,0.0,51.8,15.4
69,36.2,17.1,0.0,56.2,19.11
70,38.3,13.9,0.0,40.6,17.49
71,33.3,18.1,0.0,47.5,17.09
72,37.8,16.3,0.0,63.8,18.62
73,39.0,22.1,0.56,48.4,17.35
74,37.5,18.8,0.0,59.4,20.61
75,38.2,17.5,0.0,55.8,16.56
76,38.2,15.9,1.43,55.8,16.55
77,37.2,16.2,0.0,26.6,22.76
78,34.9,15.6,0.0,40.3,18.38
79,33.9,14.7,0.73,34.7,21.89
80,37.4,19.2,0.0,47.0,22.9
81,37.5,15.1,0.0,51.7,17.94
82,41.5,19.5,0.0,37.1,18.45
83,39.3,20.6,1.09,55.2,22.99
84,35.4,20.8,0.0,51.7,19.08
85,37.5,16.2,0.0,40.1,18.42
86,38.8,19.1,0.0,43.7,22.08
87,37.7,18.5,0.0,30.7,18.89
88,39.8,20.5,0.0,37.7,16.73
89,41.7,20.3,2.51,39.1,21.98
90,39.6,17.0,0.0,43.2,19.59
91,39.1,17.5,0.0,52.5,21.92
92,39.5,19.5,1.67,55.5,25.0
93,38.6,20.3,0.0,42.2,18.72
94,39.4,22.3,0.0,45.5,21.7
95,38.1,16.3,0.0,51.5,18.19
96,36.4,18.2,0.0,59.5,19.99
97,37.9,17.4,0.0,38.9,24.28
98,35.4,21.7,1.34,53.5,23.3
99,40.9,19.2,0.0,50.7,22.48
100,34.1,19.5,0.0,49.8,23.47
101,37.9,18.5,0.0,47.3,23.4
102,39.3,17.6,0.0,48.2,18.68
103,37.3,17.3,0.0,45.6,20.74
104,39.3,17.3,0.0,56.9,19.74
105,40.8,19.9,0.0,36.3,19.78
106,39.5,19.3,0.0,58.0,21.2
107,33.5,21.5,0.0,40.0,20.07
108,38.0,18.3,1.03,52.7,24.61
109,39.5,20.2,0.0,54.9,19.52
110,40.4,18.5,0.0,63.4,21.94
111,36.7,17.8,0.0,53.7,19.68
112,40.7,21.0,0.0,34.7,18.94
113,35.0,19.0,0.0,62.5,22.47
114,37.9,22.8,3.34,61.4,19.96
115,38.8,17.9,3.04,46.9,23.0
116,35.3,17.6,0.0,58.2,19.61
117,35.1,20.4,0.0,53.0,20.21
118,38.4,19.5,1.14,68.8,21.31
119,38.2,19.7,0.0,55.9,20.95
120,38.9,22.5,0.0,52.3,22.73
121,35.1,17.1,0.0,46.4,22.7
