day_of_year,tmax,tmin,rainfall,humidity,radiation
1,23.2,2.6,0.0,33.1,15.76
2,21.6,5.8,0.75,73.1,14.3
3,21.5,7.4,0.0,63.4,14.82
4,22.9,3.4,0.0,57.8,13.92
5,24.6,3.2,0.0,52.9,15.35
6,23.4,4.7,0.0,64.0,12.5
7,25.1,-0.1,0.0,45.7,12.7
8,24.0,3.1,1.86,61.0,12.45
9,23.6,10.4,0.0,48.7,14.29
10,23.2,5.6,0.0,88.3,10.07
11,25.4,-0.9,1.98,65.1,18.58
12,22.1,4.9,0.0,57.3,15.93
13,22.0,5.6,0.0,68.6,11.51
14,24.9,5.2,0.0,57.2,18.7
15,20.7,8.9,0.0,57.9,12.77
16,23.5,7.3,0.0,54.7,9.87
17,27.2,3.4,0.0,63.0,12.23
18,25.3,5.7,0.0,66.9,13.92
19,26.0,5.6,0.0,56.0,13.31
20,25.4,5.5,0.0,51.9,17.41
21,25.5,5.6,0.0,51.9,13.79
22,28.1,6.7,1.51,62.9,12.85
23,23.8,7.1,0.0,44.8,14.59
24,25.9,10.5,0.0,57.1,15.57
25,28.2,6.4,0.93,67.5,12.78
26,25.6,7.5,0.0,78.6,13.96
27,28.1,5.8,1.83,67.1,13.69
28,28.2,10.3,0.0,68.1,10.37
29,25.0,7.5,0.0,62.7,13.81
30,29.0,8.6,0.0,52.6,13.52
31,28.1,13.8,0.0,66.2,13.47
32,28.6,9.5,0.0,66.8,11.16
33,26.1,10.4,0.0,63.4,12.83
34,27.1,8.2,0.0,66.1,13.23
35,24.5,5.6,0.0,68.5,15.56
36,24.8,9.7,0.0,41.6,12.55
37,26.0,7.7,0.0,60.6,13.05
38,31.5,8.2,0.0,71.8,12.69
39,27.4,9.8,0.0,61.5,10.21
40,28.2,11.8,0.0,58.6,14.32
41,29.0,6.5,1.32,70.0,13.18
42,27.5,11.0,0.0,69.4,17.7
43,26.5,8.2,2.84,62.1,14.06
44,26.6,11.1,0.0,65.6,14.26
45,27.7,6.9,0.99,64.8,14.77
46,32.5,9.3,0.0,48.9,14.23
47,26.9,14.6,0.0,71.7,14.36
48,27.7,10.8,1.87,74.3,13.35
49,29.6,12.5,0.0,44.6,13.05
50,31.6,11.3,0.0,56.6,16.86
51,28.9,11.4,0.0,70.3,15.87
52,30.8,9.5,0.0,66.4,12.58
53,33.2,9.7,3.56,46.6,15.34
54,26.6,13.9,0.14,50.0,11.61
55,31.8,10.8,0.0,57.3,21.43
56,32.2,12.3,0.0,52.3,13.66
57,29.7,12.5,0.71,60.9,16.87
58,31.3,11.3,0.0,41.9,15.74
59,26.9,12.8,0.0,46.9,13.91
60,28.3,9.4,0.0,60.3,14.77
61,28.2,12.3,0.0,71.7,14.16
62,29.7,13.4,1.67,56.5,12.17
63,30.1,15.4,1.87,66.9,19.38
64,29.8,12.1,0.0,54.8,15.44
65,34.2,8.4,2.78,61.0,10.58
66,32.8,18.7,2.19,86.5,13.66
67,28.8,14.2,0.0,68.2,13.54
68,31.5,13.8,0.0,54.5,13.77
69,34.0,13.8,0.0,68.6,11.78
70,36.6,10.4,0.0,76.1,17.83
71,35.7,11.6,2.42,45.2,15.83
72,29.0,18.8,0.0,68.7,14.94
73,32.1,13.0,1.27,50.3,14.81
74,29.8,15.6,0.0,62.6,18.2
75,32.9,14.4,0.0,59.2,15.93
76,31.9,14.9,0.0,64.7,16.55
77,35.2,11.5,0.0,61.1,13.34
78,30.7,15.4,0.0,51.1,15.61
79,30.6,14.0,0.0,72.5,15.71
80,33.8,15.0,0.0,55.1,15.74
81,33.9,15.1,0.0,72.2,15.7
82,32.0,14.8,0.0,71.3,19.03
83,31.4,16.2,0.0,67.6,18.8
84,27.0,13.7,2.26,61.4,14.94
85,33.2,14.7,1.31,35.7,11.28
86,33.1,15.9,0.66,62.3,17.15
87,30.3,12.2,1.76,50.6,15.15
88,31.6,18.2,0.0,62.3,15.19
89,31.7,12.7,2.95,51.5,19.37
90,32.6,13.0,0.0,61.1,16.69
91,30.6,13.8,0.0,62.5,20.94
92,35.4,15.6,0.0,60.8,13.8
93,33.4,15.7,0.0,47.6,16.73
94,31.6,14.3,0.02,53.6,20.54
95,28.9,13.6,0.0,67.2,18.91
96,32.0,17.9,0.0,64.3,18.07
97,30.4,16.6,0.0,61.4,20.08
98,34.9,16.5,0.0,56.0,17.96
99,33.3,14.2,0.0,51.1,15.66
100,31.9,14.9,0.0,50.0,19.5
101,28.5,19.0,0.0,55.7,17.12
102,30.1,13.9,0.0,57.8,16.28
103,33.4,17.9,2.01,52.3,19.09
104,32.2,16.1,0.0,69.8,12.38
105,33.1,13.6,2.3,75.2,18.94
106,29.5,17.6,0.0,50.8,18.24
107,29.8,16.4,3.34,54.0,18.18
108,30.1,16.2,0.0,55.3,20.16
109,31.5,14.4,2.17,50.5,15.49
110,33.5,18.9,0.0,41.2,18.65
111,28.9,17.8,0.0,54.1,20.69
112,29.6,20.3,0.0,50.2,11.73
113,32.7,19.0,0.0,56.0,18.9
114,33.2,16.3,3.47,73.0,17.01
115,32.9,14.0,0.0,67.3,19.05
116,32.5,16.1,0.0,59.4,19.01
117,30.2,15.5,0.0,54.2,18.29
118,32.2,15.3,0.0,65.9,17.24
119,30.8,13.2,1.51,50.7,18.04
120,32.5,15.9,0.0,68.4,16.24
121,31.5,16.6,2.31,46.0,18.91
122,33.1,15.2,0.0,65.8,19.08
123,32.0,15.1,0.0,73.0,20.83
124,33.4,15.4,0.0,58.5,18.75
125,36.4,17.5,0.0,61.5,16.56
126,27.2,11.1,1.79,34.6,20.09
127,27.2,17.0,0.68,80.7,15.97
128,31.3,14.9,0.0,69.4,18.84
129,30.8,16.9,0.0,70.4,17.96
130,31.2,15.7,0.0,68.4,18.36
131,32.4,18.0,0.0,75.7,22.63
