day_of_year,tmax,tmin,rainfall,humidity,radiation
1,31.1,12.5,0.0,43.9,21.75
2,33.1,6.7,1.09,44.6,17.71
3,29.3,7.6,0.0,56.3,17.79
4,33.6,11.2,0.0,55.9,16.8
5,28.2,11.6,1.04,41.4,16.96
6,32.8,9.1,0.0,47.7,13.9
7,32.5,7.9,2.29,38.3,20.0
8,31.2,13.6,0.0,34.5,19.36
9,32.6,13.6,1.5,47.2,19.13
10,32.6,14.1,0.0,45.8,16.4
11,30.4,10.9,0.0,38.5,20.62
12,33.3,12.6,0.0,45.5,18.57
13,32.5,13.5,0.0,35.1,19.07
14,32.1,11.4,0.0,49.1,16.03
15,34.3,8.3,0.0,41.3,19.89
16,28.5,11.5,0.0,39.2,16.79
17,30.8,14.9,0.0,49.5,18.32
18,33.7,15.6,0.0,46.0,17.81
19,34.2,12.1,0.0,24.5,19.9
20,31.8,13.4,0.86,34.2,18.87
21,33.5,17.9,0.0,45.3,17.36
22,32.9,15.5,0.0,69.8,20.35
23,34.0,15.3,2.21,39.8,21.98
24,32.3,11.7,0.0,46.3,16.27
25,35.3,15.0,0.0,29.1,17.85
26,36.6,11.2,0.68,44.5,16.46
27,30.3,15.0,0.0,38.9,19.19
28,34.1,17.3,0.8,41.9,16.72
29,35.1,16.1,1.11,45.4,18.23
30,34.8,13.8,0.76,34.2,20.98
31,38.8,14.7,0.0,42.5,19.33
32,36.0,17.5,0.0,50.2,19.96
33,34.5,11.3,0.0,51.8,18.68
34,34.8,15.2,0.0,54.9,17.67
35,37.5,15.8,0.0,36.2,21.09
36,35.1,14.1,0.0,50.2,21.68
37,39.7,14.6,0.93,45.1,15.4
38,36.4,15.6,0.0,42.3,19.85
39,35.6,15.7,0.0,29.6,15.82
40,39.3,20.5,0.56,42.7,18.69
41,36.9,16.0,0.0,52.1,20.13
42,36.7,18.6,0.0,46.1,20.79
43,33.8,18.2,1.93,34.3,22.09
44,37.3,14.8,0.5,41.7,17.79
45,37.4,17.5,0.0,34.6,18.89
46,34.7,16.3,0.11,40.3,20.94
47,38.8,19.3,0.0,23.6,21.96
48,39.5,17.0,0.0,52.1,19.41
49,37.3,18.0,2.18,36.9,24.62
50,40.7,14.5,0.67,47.7,20.3
51,38.3,12.1,0.0,35.0,19.4
52,37.9,18.7,0.0,40.3,21.4
53,42.7,17.7,0.0,50.9,20.58
54,37.5,15.8,0.0,25.6,21.17
55,38.9,19.0,0.0,49.0,22.13
56,37.9,16.1,0.0,42.4,20.72
57,35.4,17.0,2.32,29.6,18.98
58,41.9,20.9,0.0,61.6,19.71
59,39.7,18.8,0.0,42.8,17.07
60,39.8,23.6,0.0,45.2,16.52
61,39.5,18.3,0.0,55.1,17.79
62,40.5,16.2,0.0,29.2,18.7
63,38.5,15.5,2.58,34.3,20.18
64,41.7,19.5,0.83,42.7,21.49
65,40.4,20.9,0.0,55.0,20.01
66,39.3,21.6,0.0,54.1,20.24
67,38.8,19.3,0.0,37.8,21.73
68,37.6,22.2,0.0,46.5,22.7
69,35.8,20.7,0.0,49.5,18.45
70,39.2,17.7,0.0,44.8,19.95
71,38.8,19.1,0.0,56.3,17.46
72,41.5,20.0,0.0,43.9,20.7
73,38.6,21.2,0.0,20.1,17.9
74,41.4,17.7,0.0,48.5,21.39
75,39.5,20.3,0.0,46.5,21.01
76,37.1,19.6,0.08,50.4,23.51
77,35.8,19.6,0.24,33.1,23.4
78,44.4,24.4,0.0,47.4,21.71
79,39.8,18.6,0.0,48.9,20.2
80,41.0,21.9,1.25,44.3,20.93
81,36.3,23.3,0.0,40.8,20.39
82,41.3,21.2,0.0,49.5,21.52
83,35.8,22.4,0.0,38.2,19.23
84,43.2,18.3,1.04,42.5,22.14
85,41.0,22.7,0.0,58.8,22.78
86,38.2,18.3,0.0,52.9,22.34
87,38.2,21.3,0.0,43.0,21.07
88,36.1,22.0,0.0,34.7,24.1
89,42.6,20.0,0.0,46.8,21.75
90,43.3,24.6,0.0,36.8,18.97
91,38.7,20.6,0.0,38.2,19.35
92,42.1,19.6,0.0,50.4,20.8
93,39.8,21.3,0.94,42.9,22.46
94,40.4,21.3,2.04,44.2,24.06
95,42.4,23.7,0.41,33.3,19.63
96,38.4,20.5,0.04,46.0,23.59
97,39.8,22.4,0.0,36.8,21.38
98,38.0,22.1,0.0,44.8,25.0
99,43.6,20.4,1.51,36.4,22.81
100,39.2,26.4,0.0,44.7,21.78
101,37.7,22.6,0.0,21.7,21.98
102,39.4,26.0,0.0,49.0,21.68
103,38.9,19.8,0.0,47.4,21.56
104,38.6,22.0,1.58,35.9,21.9
105,40.3,21.1,0.0,47.9,21.52
106,40.0,23.0,0.86,60.3,21.84
107,36.1,21.8,3.19,50.5,21.63
108,39.2,22.4,0.0,40.5,22.48
109,37.9,21.5,1.85,38.8,21.43
110,39.4,22.5,0.0,49.1,22.6
111,36.2,22.0,0.0,40.1,23.94
112,40.8,18.6,0.0,53.9,24.33
113,39.5,21.3,0.0,38.3,24.94
114,39.4,20.8,0.0,48.3,23.2
115,38.6,23.8,0.31,39.6,22.63
116,36.0,19.9,1.43,35.5,20.97
117,40.8,23.7,0.0,37.5,22.54
118,40.2,22.9,0.56,52.2,21.56
119,39.1,21.7,1.05,30.6,22.7
120,36.7,27.4,0.0,32.1,25.0
121,38.2,23.5,1.86,50.9,24.82
122,34.7,26.2,0.0,43.6,22.84
123,36.5,22.3,0.0,50.6,25.0
124,37.3,24.9,0.13,27.7,22.4
125,41.4,23.5,0.0,24.8,23.98
126,40.4,17.8,2.05,37.5,22.72
127,38.1,26.4,0.0,42.8,25.0
128,35.8,24.3,1.59,33.1,25.0
129,36.7,22.1,0.43,46.3,24.58
130,34.7,21.9,1.67,41.4,25.0
131,38.9,25.2,1.47,50.5,23.54
132,39.5,24.7,0.0,28.7,25.0
133,35.7,20.1,0.0,31.4,24.19
134,36.9,23.2,1.91,39.7,25.0
135,37.2,27.0,0.0,43.6,25.0
136,38.3,20.8,0.0,37.1,24.03
137,40.5,20.1,0.0,77.3,25.0
138,36.2,26.7,0.0,29.4,24.16
139,35.8,23.3,0.0,61.7,25.0
140,33.0,23.2,0.0,45.0,22.69
141,34.3,25.6,0.93,49.2,19.97
142,37.9,19.5,0.0,48.6,24.86
143,35.1,22.9,0.0,37.9,24.71
144,36.3,25.4,0.0,25.4,25.0
145,36.5,23.3,1.19,30.7,25.0
146,34.5,24.0,0.0,45.1,25.0
147,33.8,21.7,0.0,35.8,25.0
148,38.6,18.3,0.0,51.5,23.88
149,39.0,22.8,0.85,35.5,21.68
150,36.0,22.6,0.0,50.3,25.0
151,34.4,23.2,0.62,43.1,25.0
152,33.8,20.5,0.0,43.6,25.0
153,32.9,18.9,0.0,36.3,25.0
154,35.1,19.9,0.0,33.5,25.0
155,34.7,24.5,0.0,51.9,25.0
156,32.2,18.9,0.56,41.5,23.21
157,36.1,23.0,0.0,44.7,24.18
158,36.6,22.2,0.0,46.6,25.0
159,33.7,19.4,0.0,53.5,25.0
160,35.2,21.5,0.0,44.1,24.9
161,34.4,21.3,0.0,43.9,25.0
162,35.2,23.3,1.53,44.7,25.0
163,34.6,22.2,0.0,41.4,25.0
164,32.1,23.4,0.27,42.3,24.84
165,31.4,21.3,0.0,45.7,25.0
166,29.1,19.4,0.0,46.4,25.0
167,35.5,20.9,0.0,40.7,25.0
168,34.2,19.0,0.0,44.6,24.19
169,32.5,17.7,0.0,40.9,25.0
170,31.0,19.6,0.0,46.8,25.0
171,29.0,22.1,0.0,51.7,23.76
172,28.4,20.3,0.0,31.3,25.0
173,29.8,20.8,0.0,32.5,23.83
174,26.9,18.9,0.0,37.2,23.83
175,32.9,22.4,1.25,22.5,25.0
176,34.4,22.8,0.0,47.4,22.82
177,28.3,23.9,2.52,60.5,25.0
178,28.5,20.1,0.0,60.9,25.0
179,29.9,20.1,0.47,39.3,24.39
180,30.9,18.6,0.0,36.0,25.0
181,29.7,20.4,0.0,21.9,25.0
182,26.3,20.0,0.0,49.7,24.68
183,26.9,20.0,0.65,59.1,24.34
184,32.1,20.2,0.0,42.6,25.0
