Day,Food,Calories,Protein_g,Fat_g,Carbs_g,Sugar_g
1,Salmon,201.6,24.4,11.7,0.8,0.0
2,Apple,51.0,0.4,0.3,13.9,11.4
3,Banana,87.2,1.3,0.3,23.0,13.3
4,Chicken,166.0,27.9,7.2,0.8,0.0
5,Carrot,35.5,0.7,0.2,8.1,4.3
6,Yogurt,108.6,5.9,2.5,11.4,8.1
7,Yogurt,98.3,8.5,2.7,12.3,8.5
8,Salmon,249.7,22.2,12.9,0.3,0.0
9,Chicken,189.2,28.1,4.9,0.9,0.0
10,Chicken,199.6,28.5,7.8,0.5,0.0
11,Banana,86.9,1.4,0.3,23.0,14.4
12,Bread,290.0,7.3,3.7,45.3,3.1
13,Milk,108.1,3.3,4.8,11.2,10.3
14,Yogurt,103.1,6.1,2.4,11.4,9.6
15,Cheese,334.6,20.9,34.8,1.7,0.7
16,Bread,275.6,7.3,4.7,47.8,4.3
17,Egg,71.7,7.2,5.3,0.6,0.3
18,Salmon,233.5,20.8,12.2,0.1,0.0
19,Milk,94.6,4.0,5.0,11.7,9.3
20,Chicken,169.7,26.7,4.4,0.3,0.0
21,Milk,103.6,3.8,3.5,11.6,9.3
22,Milk,106.6,4.0,4.2,11.8,10.2
23,Apple,53.7,0.2,0.3,15.2,11.0
24,Chicken,181.9,28.3,3.2,0.2,0.0
25,Milk,104.1,3.0,4.1,11.6,9.8
26,Salmon,207.4,23.7,14.3,0.2,0.0
27,Milk,102.0,3.7,4.7,10.0,10.9
28,Bread,264.3,7.5,3.4,46.2,3.2
29,Milk,99.4,3.3,3.6,11.5,9.8
30,Bread,272.2,8.3,4.8,52.2,4.0
31,Cheese,358.0,23.6,29.2,2.2,0.7
32,Banana,88.3,1.2,0.4,26.2,12.6
33,Milk,101.6,3.9,4.2,10.7,9.1
34,Bread,288.4,8.2,4.4,52.6,4.9
35,Apple,50.6,0.2,0.1,15.5,11.2
36,Chicken,199.1,28.0,7.8,0.2,0.0
37,Milk,92.7,3.3,3.8,11.6,10.2
38,Salmon,221.1,23.8,11.4,0.9,0.0
39,Yogurt,107.8,9.6,2.5,10.6,11.2
40,Egg,87.9,7.8,5.7,0.6,0.3
41,Yogurt,117.5,9.2,2.8,12.2,9.9
42,Banana,91.9,1.4,0.2,25.5,12.2
43,Milk,91.2,3.4,4.2,11.6,9.3
44,Milk,96.8,3.0,4.3,11.8,9.5
45,Yogurt,99.9,8.8,3.7,14.8,11.2
46,Milk,106.2,3.2,4.9,11.9,9.9
47,Yogurt,90.7,8.5,3.3,11.7,11.7
48,Milk,108.3,3.2,3.4,10.5,9.9
49,Bread,283.7,8.0,3.4,54.6,4.9
50,Chicken,198.7,26.4,4.9,0.1,0.0
51,Apple,53.7,0.2,0.1,14.2,10.2
52,Cheese,305.5,24.4,25.2,1.9,1.0
53,Chicken,175.8,28.0,4.0,0.6,0.0
54,Banana,87.6,1.3,0.4,26.0,14.8
55,Banana,97.1,1.4,0.5,25.9,12.6
56,Chicken,181.3,26.8,5.3,0.0,0.0
57,Milk,108.7,3.1,4.4,10.3,10.5
58,Salmon,229.1,21.1,13.9,0.7,0.0
59,Bread,290.7,7.2,3.7,52.3,3.5
60,Banana,89.9,1.2,0.4,24.7,14.2
61,Egg,75.5,6.3,5.3,0.7,0.4
62,Chicken,197.5,25.8,4.4,0.1,0.0
63,Egg,85.5,7.3,5.4,0.9,0.1
64,Chicken,199.9,29.1,7.9,0.1,0.0
