day,hum%,Tmax,Tmin,Rain,rainydays,Hum
1,61.2,11.2,5.4,0.0,0,0.612
2,79.5,10.1,1.6,0.0,0,0.795
3,66.5,11.8,2.1,1.7,1,0.665
4,63.7,13.7,5.3,2.2,1,0.637
5,74.1,10.4,3.7,0.0,0,0.741
6,65.1,10.6,3.1,0.0,0,0.651
7,76.2,14.4,6.1,0.0,0,0.762
8,63.9,12.9,5.4,0.0,0,0.639
9,75.8,10.6,5.0,0.0,0,0.758
10,70.1,12.8,6.2,3.5,1,0.701
11,75.9,11.0,1.9,0.0,0,0.759
12,79.4,11.1,1.8,4.6,1,0.794
13,64.6,12.7,7.0,0.0,0,0.646
14,77.0,8.6,-1.2,0.0,0,0.77
15,63.9,9.1,2.5,0.0,0,0.639
16,66.1,11.6,3.3,2.0,1,0.661
17,67.7,10.9,2.1,0.3,1,0.677
18,74.6,13.7,4.6,0.0,0,0.746
19,72.6,11.4,1.7,0.0,0,0.726
20,71.9,10.6,4.0,0.0,0,0.719
21,73.8,16.5,7.2,0.0,0,0.738
22,76.4,13.2,7.6,0.0,0,0.764
23,77.1,14.0,5.5,0.0,0,0.771
24,79.5,11.2,2.5,5.7,1,0.795
25,83.4,13.1,4.7,0.0,0,0.834
26,74.5,14.5,8.3,0.0,0,0.745
27,72.3,12.2,2.8,0.0,0,0.723
28,78.3,15.4,9.5,0.0,0,0.783
29,69.8,13.6,8.3,2.8,1,0.698
30,72.4,14.4,5.8,6.4,1,0.724
31,81.0,13.9,6.5,10.7,1,0.81
32,75.7,18.9,9.7,0.0,0,0.757
33,70.5,15.4,8.4,0.0,0,0.705
34,69.3,13.4,7.6,0.0,0,0.693
35,77.2,17.3,8.1,2.9,1,0.772
36,82.9,13.4,5.6,0.2,1,0.829
37,83.1,16.4,10.4,1.8,1,0.831
38,78.2,12.2,3.6,0.0,0,0.782
39,87.9,13.6,6.0,7.7,1,0.879
40,77.5,16.7,8.7,2.6,1,0.775
41,77.5,18.0,10.7,0.0,0,0.775
42,65.5,17.0,7.8,0.0,0,0.655
43,76.3,16.5,7.4,0.0,0,0.763
44,82.9,16.3,7.7,1.2,1,0.829
45,86.7,14.0,8.5,0.0,0,0.867
46,74.8,15.7,6.5,0.0,0,0.748
47,81.4,16.3,8.0,0.5,1,0.814
48,84.5,19.5,11.0,2.5,1,0.845
49,79.4,18.2,11.3,0.0,0,0.794
50,68.0,14.1,4.7,0.0,0,0.68
51,80.8,18.3,9.7,1.0,1,0.808
52,83.4,17.0,11.5,0.0,0,0.834
53,75.0,16.6,9.5,0.0,0,0.75
54,78.5,19.2,9.8,5.1,1,0.785
55,74.0,20.2,14.9,0.0,0,0.74
56,67.0,20.1,10.3,0.0,0,0.67
57,85.1,16.6,8.2,0.0,0,0.851
58,79.9,17.8,9.6,0.0,0,0.799
59,88.0,19.2,12.8,0.0,1,0.88
60,84.3,20.5,14.3,2.8,1,0.843
61,78.2,17.7,8.0,0.0,0,0.782
62,79.6,18.4,11.9,0.0,0,0.796
63,82.8,16.6,7.8,0.0,0,0.828
64,84.8,16.5,9.6,0.0,0,0.848
65,81.6,20.6,14.9,0.0,0,0.816
66,85.4,21.8,16.7,0.0,0,0.854
67,78.4,19.0,11.3,0.0,0,0.784
68,74.8,21.2,11.3,0.0,0,0.748
69,79.4,20.0,13.2,0.0,0,0.794
70,80.7,18.0,11.3,1.6,1,0.807
71,73.6,20.1,13.4,0.0,0,0.736
72,72.8,22.5,14.9,0.0,0,0.728
73,81.6,19.4,12.2,0.9,1,0.816
74,77.2,22.7,13.3,0.0,0,0.772
75,78.3,14.4,6.8,0.0,0,0.783
76,77.2,21.3,13.8,0.0,0,0.772
77,86.5,19.9,14.2,2.9,1,0.865
78,85.1,19.1,9.2,0.0,0,0.851
79,72.4,20.0,13.7,1.3,1,0.724
80,75.8,15.8,10.5,0.0,0,0.758
81,82.5,19.4,11.1,0.5,1,0.825
82,81.1,20.6,12.6,0.0,0,0.811
83,77.7,22.9,15.8,0.0,0,0.777
84,72.0,18.9,11.8,0.0,0,0.72
85,74.1,18.3,9.4,0.0,0,0.741
86,74.7,19.0,13.0,0.0,0,0.747
87,78.5,21.8,12.7,1.1,1,0.785
88,85.4,20.6,12.4,0.9,1,0.854
89,73.2,18.9,11.8,3.3,1,0.732
90,71.3,21.0,13.7,4.2,1,0.713
91,75.6,20.2,13.9,0.0,0,0.756
92,81.1,21.9,13.2,0.0,0,0.811
93,68.4,18.6,11.0,5.0,1,0.684
94,82.6,19.3,12.7,0.0,0,0.826
95,74.2,19.2,11.2,0.0,0,0.742
96,71.1,17.0,7.1,1.3,1,0.711
97,66.5,20.5,13.4,0.0,0,0.665
98,77.7,20.5,10.9,0.0,0,0.777
99,73.0,19.9,13.2,0.0,0,0.73
100,74.4,19.4,14.1,0.0,0,0.744
101,68.7,17.0,11.0,0.0,0,0.687
102,71.3,19.0,11.9,1.1,1,0.713
103,70.1,19.1,13.0,0.0,0,0.701
104,71.7,18.2,13.2,0.0,0,0.717
105,68.5,19.4,9.8,0.0,0,0.685
106,63.9,20.5,11.3,0.0,0,0.639
107,84.8,23.4,14.7,0.0,0,0.848
108,64.0,19.9,14.1,0.0,0,0.64
109,71.3,20.1,14.5,0.0,0,0.713
110,61.2,19.3,14.0,0.0,0,0.612
111,59.7,15.6,7.0,0.0,0,0.597
112,69.8,19.3,9.7,0.0,0,0.698
113,69.7,19.4,12.3,0.0,0,0.697
114,74.8,24.2,18.6,0.0,0,0.748
115,70.0,18.8,11.2,0.0,0,0.7
116,66.9,19.7,13.0,3.0,1,0.669
117,62.5,19.0,12.1,5.4,1,0.625
118,74.3,16.6,8.5,0.0,0,0.743
119,71.0,21.2,12.6,0.0,0,0.71
120,59.7,20.3,14.8,5.6,1,0.597
121,65.7,20.3,15.1,0.0,0,0.657
122,65.8,16.8,6.8,0.0,0,0.658
123,62.9,21.3,15.2,0.7,1,0.629
124,68.0,15.6,10.4,8.7,1,0.68
125,67.8,19.5,13.6,0.0,0,0.678
126,62.3,22.6,17.4,1.2,1,0.623
127,61.3,16.2,9.2,0.0,0,0.613
128,69.8,16.9,7.9,0.0,0,0.698
129,66.5,18.2,11.5,0.0,0,0.665
130,61.7,16.8,9.6,0.0,0,0.617
131,52.7,14.6,6.3,0.0,0,0.527
132,62.1,17.8,10.2,0.0,0,0.621
133,63.4,15.4,6.1,0.0,0,0.634
134,45.6,18.4,9.0,0.0,0,0.456
135,60.2,15.5,10.4,0.0,0,0.602
136,56.3,20.3,11.4,0.0,0,0.563
137,56.8,15.5,8.2,0.0,0,0.568
138,52.9,16.3,6.3,0.0,0,0.529
139,56.2,18.4,11.0,4.6,1,0.562
140,63.4,14.2,4.3,1.9,1,0.634
141,53.7,17.0,8.2,0.0,0,0.537
142,60.2,19.0,12.8,0.0,0,0.602
143,50.9,13.1,5.4,0.0,0,0.509
144,58.2,16.5,6.6,0.0,0,0.582
145,53.9,16.5,7.2,0.6,1,0.539
146,55.1,17.4,12.0,0.0,0,0.551
147,52.9,13.3,4.7,3.1,1,0.529
148,55.5,13.0,6.2,0.0,0,0.555
149,39.0,16.5,11.5,0.0,0,0.39
150,44.2,15.9,8.9,0.0,0,0.442
151,52.9,15.7,9.5,0.0,0,0.529
152,40.0,15.7,6.6,0.7,1,0.4
153,47.1,13.5,6.8,0.0,0,0.471
154,49.0,15.2,6.0,4.8,1,0.49
155,44.6,15.1,10.1,1.3,1,0.446
156,44.7,13.0,6.4,7.5,1,0.447
157,49.0,18.0,11.8,0.0,0,0.49
158,52.2,15.0,8.9,0.8,1,0.522
159,41.9,11.6,6.2,0.0,0,0.419
160,43.3,15.1,9.2,0.0,0,0.433
161,42.0,11.7,3.9,0.0,0,0.42
162,33.0,15.0,8.6,1.6,1,0.33
163,45.3,15.6,8.5,0.5,1,0.453
164,48.8,11.5,4.6,0.0,0,0.488
165,48.7,14.9,5.5,0.0,0,0.487
166,38.7,13.6,4.1,0.1,1,0.387
167,36.3,14.3,6.8,0.0,0,0.363
168,42.2,16.3,9.6,0.0,0,0.422
169,45.7,11.8,6.3,0.0,0,0.457
170,41.9,10.6,0.9,0.0,0,0.419
171,42.1,10.2,4.9,0.0,0,0.421
172,45.8,10.2,3.7,0.0,0,0.458
173,35.9,11.5,5.0,0.0,0,0.359
174,38.0,12.1,5.5,0.0,0,0.38
175,46.8,11.8,6.0,0.0,0,0.468
176,37.2,12.8,3.9,0.0,0,0.372
177,31.4,11.0,5.4,0.0,0,0.314
178,33.9,13.7,5.5,1.3,1,0.339
179,32.1,10.1,4.5,1.8,1,0.321
180,38.1,15.9,10.5,0.0,0,0.381
181,31.4,11.5,2.0,0.0,0,0.314
182,36.8,8.4,2.4,0.0,0,0.368
183,31.3,7.8,-1.3,0.0,0,0.313
184,23.9,10.7,3.0,0.0,0,0.239
185,35.6,9.1,3.7,1.1,1,0.356
186,34.4,10.8,1.0,0.0,0,0.344
187,35.8,10.2,3.9,0.0,0,0.358
188,29.4,8.9,-0.4,0.0,0,0.294
189,28.5,7.2,1.3,0.0,0,0.285
190,34.0,5.7,-3.6,9.5,1,0.34
191,39.1,7.6,2.6,0.0,0,0.391
192,31.2,10.1,2.5,0.0,0,0.312
193,32.9,8.6,-0.2,1.0,1,0.329
194,28.7,5.5,-4.1,0.0,0,0.287
195,22.2,8.2,-1.3,0.0,0,0.222
196,34.4,8.5,-0.6,0.0,0,0.344
197,33.7,5.8,-3.7,0.0,0,0.337
198,32.4,7.7,1.7,0.0,0,0.324
199,27.6,7.3,0.9,0.0,0,0.276
200,31.1,4.7,-1.7,1.9,1,0.311
201,32.2,7.6,0.7,0.0,0,0.322
202,35.5,7.8,0.9,8.8,1,0.355
203,32.0,8.7,1.0,0.0,0,0.32
204,27.1,8.5,2.7,0.0,0,0.271
205,20.0,3.5,-5.0,0.0,0,0.2
206,26.9,4.2,-1.6,0.0,0,0.269
207,27.1,6.9,0.4,1.1,1,0.271
208,29.0,6.8,-0.7,0.0,0,0.29
209,32.0,6.6,-2.4,0.0,0,0.32
210,24.4,13.1,4.4,0.0,0,0.244
211,35.1,6.4,-1.8,0.0,0,0.351
212,20.0,7.4,1.6,0.0,0,0.2
213,26.2,6.9,-0.8,0.0,0,0.262
214,20.0,6.1,0.7,0.0,0,0.2
215,20.0,4.1,-2.8,0.0,0,0.2
216,22.3,6.1,-1.0,0.0,0,0.223
217,20.0,2.9,-2.3,0.0,0,0.2
218,22.1,3.8,-2.6,0.0,0,0.221
219,22.9,3.2,-6.6,8.5,1,0.229
220,28.1,4.1,-5.6,2.3,1,0.281
221,20.0,8.5,1.7,0.0,0,0.2
222,26.6,-0.0,-5.2,1.1,1,0.266
223,22.4,5.0,-0.9,2.4,1,0.224
224,26.9,0.2,-6.7,0.0,0,0.269
225,20.0,2.4,-7.4,1.0,1,0.2
226,20.0,5.4,-0.3,0.0,0,0.2
227,20.0,3.2,-5.6,0.0,0,0.2
228,20.0,0.8,-4.8,0.0,0,0.2
229,23.4,1.4,-8.5,1.5,1,0.234
230,28.2,4.1,-2.8,0.0,0,0.282
231,20.0,1.1,-7.7,0.0,0,0.2
232,23.8,2.9,-3.8,0.0,0,0.238
233,20.0,2.5,-5.7,0.0,0,0.2
234,21.3,0.9,-5.0,4.9,1,0.213
235,23.7,6.4,0.7,0.0,0,0.237
236,20.0,3.3,-6.4,4.2,1,0.2
237,20.0,-2.1,-11.7,0.0,0,0.2
238,23.7,2.2,-7.2,0.0,0,0.237
239,20.0,0.4,-7.7,0.0,0,0.2
240,26.7,3.3,-5.7,0.0,0,0.267
241,21.8,-0.0,-5.4,0.0,0,0.218
242,23.6,1.2,-5.4,0.0,0,0.236
243,20.0,2.4,-4.2,0.0,0,0.2
244,20.0,3.0,-5.2,0.0,0,0.2
245,22.7,-1.2,-8.0,0.0,0,0.227
246,20.0,0.5,-5.3,0.0,0,0.2
247,20.2,0.1,-7.9,0.0,0,0.202
248,25.5,-0.3,-9.4,0.0,0,0.255
249,23.9,4.4,-2.5,0.0,0,0.239
250,29.8,1.6,-4.0,9.4,1,0.298
251,21.0,-1.8,-7.7,0.0,0,0.21
252,20.0,2.5,-3.7,3.1,1,0.2
253,20.0,4.9,-1.6,0.0,0,0.2
254,22.5,2.6,-5.6,0.0,0,0.225
255,25.6,-2.5,-10.5,0.0,0,0.256
256,20.0,-0.5,-9.0,0.0,0,0.2
257,20.8,2.9,-3.9,0.0,0,0.208
258,28.9,-1.1,-10.2,0.0,0,0.289
259,20.0,1.2,-4.8,0.0,0,0.2
260,25.8,1.8,-5.5,0.0,0,0.258
261,23.8,-1.6,-10.6,0.0,0,0.238
262,26.2,0.1,-5.8,1.2,1,0.262
263,20.0,-6.3,-11.9,0.0,0,0.2
264,20.0,-1.9,-11.3,0.0,0,0.2
265,22.1,-0.4,-7.1,0.0,0,0.221
266,20.0,-2.4,-10.8,0.0,0,0.2
267,21.0,3.3,-1.8,0.0,0,0.21
268,23.8,-2.8,-11.3,0.0,0,0.238
269,31.7,-0.8,-7.4,0.0,0,0.317
270,25.0,0.3,-5.0,0.0,0,0.25
271,26.4,2.9,-5.2,0.0,0,0.264
272,29.3,-2.9,-9.1,2.4,1,0.293
273,20.0,2.3,-4.6,0.0,0,0.2
274,23.2,0.0,-5.4,3.3,1,0.232
275,36.4,-2.0,-7.7,6.4,1,0.364
276,24.1,0.9,-5.6,2.5,1,0.241
277,30.4,0.4,-5.0,1.3,1,0.304
278,29.9,-1.2,-10.7,0.0,0,0.299
279,20.0,0.2,-4.8,0.0,0,0.2
280,27.2,-0.7,-8.1,0.0,0,0.272
281,26.7,0.3,-5.3,0.0,0,0.267
282,27.9,1.4,-5.1,0.0,0,0.279
283,22.8,3.3,-6.3,0.0,0,0.228
284,21.3,-2.3,-8.1,0.0,0,0.213
285,24.9,4.5,-5.4,0.0,0,0.249
286,27.1,-3.7,-9.7,0.0,0,0.271
287,33.9,-0.0,-8.8,4.4,1,0.339
288,37.4,1.5,-6.3,1.5,1,0.374
289,35.6,0.9,-8.5,0.0,0,0.356
290,33.3,-0.9,-8.6,0.0,0,0.333
291,24.4,0.0,-7.7,2.4,1,0.244
292,27.7,-0.5,-6.5,2.1,1,0.277
293,31.2,-0.6,-6.5,5.1,1,0.312
294,27.4,2.3,-7.3,0.0,0,0.274
295,33.8,1.4,-5.3,0.0,0,0.338
296,34.9,-0.7,-7.5,0.0,0,0.349
297,34.4,2.6,-6.2,9.6,1,0.344
298,37.3,1.5,-5.2,0.0,0,0.373
299,28.1,2.6,-7.2,1.1,1,0.281
300,37.7,2.3,-6.4,0.0,0,0.377
301,29.9,-0.6,-8.6,1.6,1,0.299
302,29.2,0.0,-9.4,0.0,0,0.292
303,37.0,2.7,-2.5,0.0,0,0.37
304,40.8,2.5,-3.7,0.0,0,0.408
305,37.6,1.4,-6.0,0.0,0,0.376
306,35.7,1.7,-4.4,0.0,0,0.357
307,37.6,4.1,-4.6,3.8,1,0.376
308,37.2,0.5,-9.1,0.0,0,0.372
309,31.4,2.9,-4.2,0.0,0,0.314
310,31.3,1.5,-5.2,0.0,0,0.313
311,37.6,1.6,-8.3,0.0,0,0.376
312,38.8,4.3,-2.9,0.0,0,0.388
313,39.0,3.8,-3.6,0.0,0,0.39
314,42.8,3.9,-2.8,0.4,1,0.428
315,38.8,5.0,-4.5,0.0,0,0.388
316,43.2,2.6,-5.3,14.5,1,0.432
317,40.1,4.0,-4.8,0.0,0,0.401
318,50.5,2.1,-6.9,0.0,0,0.505
319,42.2,3.5,-3.2,2.1,1,0.422
320,54.0,2.7,-4.4,0.0,0,0.54
321,44.6,3.3,-5.9,0.0,0,0.446
322,42.3,4.4,-2.4,0.0,0,0.423
323,39.3,1.7,-7.2,2.0,1,0.393
324,37.1,7.7,-2.0,0.0,0,0.371
325,39.9,1.6,-6.5,0.0,0,0.399
326,41.0,1.4,-7.4,0.0,0,0.41
327,47.9,6.2,-2.8,0.0,0,0.479
328,43.8,5.6,-3.6,1.6,1,0.438
329,47.8,5.4,-1.5,0.0,0,0.478
330,53.8,5.6,0.3,0.0,0,0.538
331,47.5,4.5,-2.6,0.0,0,0.475
332,58.8,2.8,-5.5,2.2,1,0.588
333,43.1,4.9,-2.3,0.0,0,0.431
334,48.7,3.6,-5.2,0.0,0,0.487
335,47.3,7.0,0.2,0.0,0,0.473
336,55.2,4.9,-3.3,0.0,0,0.552
337,39.8,3.7,-2.2,0.0,0,0.398
338,44.3,4.9,-3.9,0.0,0,0.443
339,51.5,6.5,-1.2,1.4,1,0.515
340,60.3,4.7,-1.3,0.0,0,0.603
341,54.2,4.3,-2.1,0.0,0,0.542
342,46.8,6.6,-2.1,0.0,0,0.468
343,48.1,6.8,-0.6,3.1,1,0.481
344,63.0,5.4,-0.6,0.0,0,0.63
345,52.0,5.7,-4.2,0.0,0,0.52
346,50.9,7.3,-1.3,1.1,1,0.509
347,63.5,4.1,-5.7,0.0,0,0.635
348,61.7,4.3,-2.8,0.0,0,0.617
349,63.5,5.8,-1.5,5.9,1,0.635
350,52.9,7.0,-2.5,0.0,0,0.529
351,50.5,8.2,0.6,0.0,0,0.505
352,59.3,10.7,2.2,0.0,0,0.593
353,60.8,9.7,3.4,1.1,1,0.608
354,61.5,7.8,0.6,0.0,0,0.615
355,67.5,8.2,2.6,0.0,0,0.675
356,51.9,6.5,0.4,0.0,0,0.519
357,65.4,8.6,3.6,0.0,0,0.654
358,56.1,8.2,3.0,0.0,0,0.561
359,66.3,9.6,-0.3,6.0,1,0.663
360,60.1,7.5,1.3,0.0,0,0.601
361,58.9,10.4,2.0,0.0,0,0.589
362,60.4,12.5,3.4,0.0,0,0.604
363,56.7,9.4,1.7,0.0,0,0.567
364,64.6,10.6,4.9,0.0,0,0.646
365,60.9,11.4,2.7,0.0,0,0.609
366,69.2,9.4,1.4,0.0,0,0.692
367,68.9,10.8,2.1,0.0,0,0.689
368,74.6,10.5,1.7,3.4,1,0.746
369,68.4,10.9,1.0,2.1,1,0.684
370,69.6,9.3,1.4,0.0,0,0.696
371,74.4,11.1,4.4,0.0,0,0.744
372,64.7,12.2,4.0,0.0,0,0.647
373,60.8,14.3,8.9,0.0,0,0.608
374,69.7,13.5,4.0,0.0,0,0.697
375,61.9,16.0,10.4,0.0,0,0.619
376,81.7,10.3,3.7,0.0,0,0.817
377,77.1,13.8,4.7,1.6,1,0.771
378,81.1,12.6,4.6,0.0,0,0.811
379,70.9,16.8,9.8,0.0,0,0.709
380,73.7,10.9,3.6,0.0,0,0.737
381,69.1,11.0,1.8,0.1,1,0.691
382,76.1,11.7,5.0,2.3,1,0.761
383,66.0,8.8,-0.5,0.0,0,0.66
384,59.7,12.2,6.7,0.0,0,0.597
385,68.8,11.9,3.0,0.0,0,0.688
386,65.8,13.8,4.6,0.0,0,0.658
387,80.8,14.4,8.5,0.0,0,0.808
388,82.8,17.6,10.5,0.0,0,0.828
389,67.0,15.9,10.1,0.0,0,0.67
390,80.8,13.0,4.5,4.2,1,0.808
391,79.4,12.5,4.9,0.0,0,0.794
392,67.1,15.5,7.3,0.0,0,0.671
393,73.3,12.0,6.0,0.0,0,0.733
394,72.6,18.5,12.4,0.0,0,0.726
395,79.5,17.3,12.1,2.4,1,0.795
396,69.9,14.1,7.5,0.0,0,0.699
397,75.8,11.8,4.0,0.0,0,0.758
398,73.1,18.1,8.8,0.0,0,0.731
399,79.1,15.3,7.0,0.0,0,0.791
400,75.9,18.1,11.0,0.0,0,0.759
401,74.5,12.6,2.9,0.0,0,0.745
402,76.4,14.7,6.2,0.0,0,0.764
403,87.8,16.1,6.4,0.0,0,0.878
404,75.7,16.3,8.7,0.0,0,0.757
405,72.8,15.5,9.2,1.2,1,0.728
406,81.1,17.7,12.5,4.8,1,0.811
407,77.7,14.5,5.9,0.0,0,0.777
408,71.5,16.5,10.9,2.8,1,0.715
409,89.8,17.1,10.6,1.0,1,0.898
410,77.1,18.0,10.4,0.0,0,0.771
411,77.1,18.5,10.7,1.9,1,0.771
