t,hum%,Tmax,Tmin,Rain ,rainydays,Hum
1,69.5,10.5,2.5,2,1,0.695
2,52.2,11.5,-1.5,0,0,0.522
3,60.5,13.5,-0.5,0,0,0.605
4,66.7,12.5,0.5,0,0,0.667
5,46,12.5,-1.5,0,0,0.46
6,34.3,16.5,8.5,0,0,0.343
7,87.3,7.5,6.5,7.4,1,0.873
8,72.7,6.5,-1.5,0.4,1,0.727
9,78.5,5.5,-2.5,2,1,0.785
10,78.3,6.5,-4.5,0,0,0.783
11,70.8,9.5,-3.5,0,0,0.708
12,55.8,10.5,-2.5,0,0,0.558
13,75.2,7.5,1.5,0,0,0.752
14,90,4.5,2.5,7,1,0.9
15,77.5,5.5,0.5,0,0,0.775
16,79.8,2.5,-4.5,0,0,0.798
17,66.2,4.5,-5.5,0,0,0.662
18,63.8,8.5,-6.5,0,0,0.638
19,69.3,5.5,-2.5,0,0,0.693
20,76.2,10.5,-1.5,0,0,0.762
21,63,11.5,0.5,0,0,0.63
22,77.3,10.5,2.5,0,0,0.773
23,88.2,3.5,1.5,2,1,0.882
24,87.7,0.5,-2.5,9,1,0.877
25,67.8,-0.5,-8.5,2,1,0.678
26,68.2,0.5,-13.5,0,0,0.682
27,72.5,4.5,-13.5,0,0,0.725
28,64,7.5,-10.5,0,0,0.64
29,53.3,12.5,3.5,0,0,0.533
30,88.8,4.5,3.5,8,1,0.888
31,81.5,1.5,-3.5,4,1,0.815
32,70.7,0.5,-6.5,0.5,1,0.707
33,74,-1.5,-10.5,0.7,1,0.74
34,67.5,-1.5,-14.5,0,0,0.675
35,67.3,-1.5,-16.5,0,0,0.673
36,67.3,2.5,-13.5,0,0,0.673
37,73.5,4.5,-11.5,0,0,0.735
38,71.8,8.5,-3.5,0,0,0.718
39,74.2,7.5,-4.5,0,0,0.742
40,73.2,7.5,-3.5,0,0,0.732
41,83.3,7.5,1.5,2.6,1,0.833
42,92.8,5.5,-0.5,8,1,0.928
43,89,3.5,0.5,39,1,0.89
44,81.5,6.5,-0.5,0.4,1,0.815
45,73.7,9.5,-8.5,0,0,0.737
46,76.5,6.5,-6.5,0,0,0.765
47,79.7,5.5,2.5,1.3,1,0.797
48,79,8.5,0.5,0,0,0.79
49,77,9.5,0.5,0,0,0.77
50,85.5,4.5,1.5,21,1,0.855
51,89.5,6.5,2.5,4,1,0.895
52,77.8,7.5,2.5,0.2,1,0.778
53,61.7,10.5,-2.5,0,0,0.617
54,76.5,4.5,-2.5,2,1,0.765
55,81.7,5.5,0.5,0.1,1,0.817
56,89.5,2.5,0.5,12,1,0.895
57,81.2,4.5,-2.5,1.2,1,0.812
58,76.8,5.5,-7.5,0,0,0.768
59,64.7,5.5,-6.5,0,0,0.647
60,69.8,7.5,-3.5,0,0,0.698
61,77.3,10.5,-1.5,0,0,0.773
62,69,15.5,3.5,2,1,0.69
63,90.8,8.5,5.5,8,1,0.908
64,89.3,10.5,2.5,2,1,0.893
65,64.5,10.5,-3.5,0,0,0.645
66,70.3,9.5,-0.5,0,0,0.703
67,84.3,6.5,3.5,0,0,0.843
68,66,8.5,-0.5,0.1,1,0.66
69,62.5,12.5,0.5,0,0,0.625
70,77.7,8.5,4.5,0,0,0.777
71,64.2,13.5,-0.5,0,0,0.642
72,67.3,17.5,1.5,0,0,0.673
73,84.7,12.5,6.5,6,1,0.847
74,81.3,10.5,7.5,0,0,0.813
75,78,8.5,4.5,2,1,0.78
76,88,3.5,2.5,9,1,0.88
77,73.3,9.5,0.5,0.2,1,0.733
78,60.8,17.5,1.5,0,0,0.608
79,78.3,18.5,10.5,10,1,0.783
80,74.3,11.5,2.5,2,1,0.743
